match_id,set,duration,winner,loser,homography_matrix
1,2,44,0,1,"[[1.2049765445361083, 0.4712532186619585, -588.0864448025472], [-0.022499188132429987, 5.655248235276021, -1428.9125669559749], [-2.656611636133803e-05, 0.002771542520349543, 1.0]]"
2,3,55,2,3,"[[1.2386677191975748, 0.5044181027592145, -614.9361953460232], [0.008686309647404574, 5.778278563976227, -1482.9815340656733], [-5.115075334415229e-06, 0.0028670177137528553, 1.0]]"
3,3,50,4,5,"[[1.2181960812875399, 0.4785742535078147, -596.0295541494885], [-0.024038194971610832, 5.717077501531219, -1461.2794663739778], [-3.462006018968606e-05, 0.002794974247235092, 1.0]]"
4,3,65,0,6,"[[1.2333335968084074, 0.48512282444149046, -603.7154132921111], [-0.02542777719466385, 5.782625734941326, -1477.2089273775778], [-2.6409605506579783e-05, 0.002837608795262587, 1.0]]"
5,2,42,7,8,"[[1.2525753835625857, 0.5103194777517027, -622.5549695124088], [0.025375537287164854, 5.817461793362739, -1502.0283246187075], [1.048540549660237e-05, 0.0028885650516388005, 1.0]]"
6,2,40,3,8,"[[1.2748402289006995, 0.5171886249928548, -632.5791638152884], [0.028723485952944976, 5.900302703570793, -1526.410873662765], [3.0495751613673334e-05, 0.002934574723728483, 1.0]]"
7,3,60,9,10,"[[1.243457179750565, 0.5045446917659319, -617.4505970304539], [0.01693954306980188, 5.76717987415123, -1483.0039542751447], [2.595816357640083e-06, 0.0028569523192686773, 1.0]]"
8,2,54,11,12,"[[2.062798646978643, 1.3484770388077614, -1106.8955429030589], [-0.07407451440361923, 11.709735314527238, -2683.759147373011], [-8.703176111901993e-05, 0.007908019832617911, 1.0]]"
9,2,43,13,5,"[[3.6918937860035324, 2.4080788821149857, -2177.238216951394], [0.0077124192115263735, 19.30624981333597, -4592.761943815321], [-6.922308902256727e-05, 0.01367687151315265, 1.0]]"
10,2,44,14,2,"[[2.513325699494093, 1.3106968242763386, -1419.036058199646], [-0.07338137731615714, 15.089086432480453, -5290.21622689319], [-5.078374549491286e-05, 0.0075273091736554314, 1.0]]"
11,2,53,10,11,"[[2.5619885648614202, 1.337408615831658, -1451.8132410361102], [-0.06929930823606165, 15.377858556778003, -5410.847094287408], [-5.4223557762276584e-05, 0.007671333505668226, 1.0]]"
12,2,48,2,7,"[[2.0151696566501807, 1.05755982263515, -1121.8857309817975], [-0.013385704248496793, 9.234268653784836, -2137.249386337726], [-2.1508535561861386e-06, 0.005768563665571007, 1.0]]"
13,3,63,15,16,"[[1.3308645164091648, 0.6976618174988704, -651.3229979631086], [-0.014843903646024097, 7.221172785477689, -1880.1637929361252], [-1.1376694237824684e-05, 0.004034525029765488, 1.0]]"
14,2,46,5,17,"[[1.4515422694976712, 0.6350413609981628, -744.2738936798976], [0.04611838646271621, 8.158667654414328, -2764.9972328553154], [6.237266492455241e-05, 0.0035566312382886533, 1.0]]"
15,3,63,2,14,"[[1.4295463860672293, 0.6189215843396844, -732.2549453759308], [0.019984317443789465, 8.083824561667912, -2730.253412893915], [3.187460297338819e-05, 0.0035191403576255408, 1.0]]"
16,2,48,10,4,"[[1.4691360971722105, 0.6457341621204867, -768.5790300964597], [-0.036105424392318, 6.424840492559715, -1452.988265493345], [-4.7029847136960454e-05, 0.003690962462560561, 1.0]]"
17,2,51,16,15,"[[0.7770350499961634, 0.3451254137938581, -319.99893072674416], [0.013305714645217159, 3.4437422338531625, -423.67885120018735], [8.641581096350565e-06, 0.0019497014738877317, 1.0]]"
18,2,42,18,15,"[[1.582515749075952, 0.6510917470758978, -831.0319745171545], [-0.002678187509151846, 6.525651394135998, -1530.4000234366717], [-1.785458367695341e-05, 0.0037221460460213317, 1.0]]"
19,3,70,10,5,"[[1.6112607154327712, 0.6659131618670249, -849.1463290141623], [0.0011537699833514526, 6.659136381033358, -1572.0049573678516], [-1.3428037617636063e-05, 0.0038046246966995756, 1.0]]"
20,2,42,17,13,"[[5.694366647630631, 3.335646069654039, -3495.9884989760476], [0.1608579156949042, 33.953026352144114, -11912.891361050348], [0.00011338467346899719, 0.01853788579046428, 1.0]]"
21,3,71,10,19,"[[5.75628385955774, 3.3689406166636773, -3533.4384258348496], [0.161897342090426, 34.39951285290102, -12065.607125967148], [0.00010678030538487424, 0.01877619138465399, 1.0]]"
22,2,34,10,17,"[[5.99541375212802, 3.509187609977599, -3686.0072381882896], [0.18524572115234314, 35.86429618009439, -12619.011293893751], [0.00011754125846927645, 0.019572399664431483, 1.0]]"
23,3,65,20,16,"[[5.793460835732053, 3.3887413095370347, -3560.547317416184], [0.16076123554635155, 34.6190526831124, -12156.680664984116], [9.11723705936385e-05, 0.01889269030767649, 1.0]]"
24,2,38,20,18,"[[5.493783769657659, 3.2067559051175287, -3367.38712433021], [0.1370445362136259, 32.787998445258154, -11488.515764855436], [8.042584489641634e-05, 0.01787547403132466, 1.0]]"
25,3,57,21,22,"[[4.602576971391821, 2.704760665377344, -2779.378364252292], [0.060475911131875185, 27.629352388905836, -9630.069842230678], [2.262817943200667e-05, 0.015081681946368511, 1.0]]"
26,2,45,21,0,"[[4.5997093078067826, 2.6978774727793886, -2773.609008091426], [0.11546596968543553, 27.416399395978125, -9558.07700958675], [9.10211998703987e-05, 0.014972195634252172, 1.0]]"
27,2,38,2,16,"[[4.735606292960176, 2.7745177723047387, -2856.7993592898633], [0.13259510036125063, 28.274026532004754, -9877.829620724493], [0.00010509538408512503, 0.015428165252928177, 1.0]]"
28,3,57,2,23,"[[4.4958187537491225, 2.6348559058311687, -2708.7598568750986], [0.0976133032112257, 26.847019316025158, -9342.318505156723], [5.9921761102797266e-05, 0.014655218297745127, 1.0]]"
29,2,40,24,25,"[[1.6486566954689927, 0.6830052841188515, -870.2235997095946], [0.01687383509691312, 6.8184581572175516, -1624.8706092510276], [4.282745741098087e-06, 0.0039039407982757023, 1.0]]"
30,2,43,13,24,"[[1.1348771511353795, 0.4755343541838247, -545.6226487700527], [-0.016389992929760414, 6.024069797561899, -1773.397639551607], [-6.287221588488147e-06, 0.0027052134942237484, 1.0]]"
31,2,43,14,2,"[[1.1355695737048186, 0.47480698195869675, -544.888345693065], [-0.01887069534102531, 6.019430611227905, -1767.1896700462628], [-8.142629866263927e-06, 0.00271317362453306, 1.0]]"
32,2,50,10,13,"[[1.1436849591353124, 0.4791705764277452, -550.9381375879781], [-0.016808916216595058, 6.066330140839316, -1786.5036308319554], [-7.967578412089983e-06, 0.0027310286980122443, 1.0]]"
33,3,68,14,16,"[[1.1324282236451775, 0.47278426519930355, -543.4594263059612], [-0.01879698993749587, 5.9971383096704045, -1761.5740886874376], [-8.064337177229728e-06, 0.0026959160905141812, 1.0]]"
34,2,69,26,9,"[[1.2422810872449632, 0.41260327838295396, -622.2901858260547], [-0.01773737849973295, 5.759546766109932, -1840.8110265229188], [-2.0331959325647857e-05, 0.0022985475879191202, 1.0]]"
35,2,38,14,2,"[[1.2639251386480665, 0.42630367753805887, -637.8591838122269], [-0.009783144034264873, 5.8614087492211295, -1882.755962273155], [-1.5257563583604367e-05, 0.002353355979102867, 1.0]]"
36,2,41,14,16,"[[2.5056167082627696, 1.3039176608252465, -1412.6743235766019], [-0.07064256207303612, 15.007730870671583, -5261.699202581795], [-3.538763581911734e-05, 0.007473809938519314, 1.0]]"
37,3,76,27,28,"[[2.026310993462281, 1.3241669777543474, -1084.914744929607], [-0.09416452038300639, 11.507660674050154, -2631.7520855858124], [-0.00010614552939852143, 0.007771988587496254, 1.0]]"
38,3,76,11,5,"[[2.502998081396016, 1.3095992853623921, -1416.6261143047657], [-0.08736816205691995, 15.0486015732943, -5273.980881335213], [-6.498970866195847e-05, 0.007499033439923788, 1.0]]"
39,2,49,19,6,"[[2.005016077454762, 1.0530949531000233, -1116.478299797126], [-0.018650904564660654, 9.179436145877869, -2114.7339076202443], [-8.75177895360411e-06, 0.005742160533106755, 1.0]]"
40,3,59,28,7,"[[2.015446566132297, 1.3078492880309887, -1081.4939271511416], [-0.09860188774793335, 11.432368686402256, -2608.163051050501], [-0.00010726609789448855, 0.007700418369676245, 1.0]]"
41,2,52,27,29,"[[2.058535059415759, 1.3423413381896103, -1108.8404294000152], [-0.0794173590712203, 11.686090971380343, -2685.086262573219], [-9.214018150094286e-05, 0.007875890436965512, 1.0]]"
42,3,70,5,30,"[[1.1278799636985777, 0.4539697019464414, -537.6330972817226], [-0.01323929058172821, 6.1119185876528395, -1823.0019981884186], [-2.7332720099561718e-05, 0.0026190438999838944, 1.0]]"
43,3,93,30,31,"[[1.1162838870886547, 0.4512592924883444, -535.7490025039998], [-0.0228615131822701, 6.053607942904232, -1805.2424636507933], [-3.2286533123497085e-05, 0.002593697710098583, 1.0]]"
44,3,67,32,5,"[[1.7717371090988803, 0.8511285646852748, -964.6558428875122], [-0.0337325842593428, 7.608125034405032, -1635.6640034679085], [-5.349223303708538e-05, 0.004812136439890747, 1.0]]"
45,3,51,5,33,"[[0.7225166626659919, 0.22917305367741891, -282.8882675934239], [-0.00090059042258145, 3.148505303030927, -604.9016992592883], [8.149656276657582e-06, 0.0012957922813282697, 1.0]]"
46,2,40,5,12,"[[1.8177475180823501, 0.8751628398977066, -993.2040496072611], [-0.028585832493295785, 7.808195651124831, -1697.3512005507487], [-3.936850512837629e-05, 0.004930010452485091, 1.0]]"
47,3,67,15,16,"[[1.7610911819951016, 0.8470749276470257, -959.0000905010281], [-0.04582660126281603, 7.578498629535338, -1626.8255328281095], [-6.183308143540944e-05, 0.0047850408011351165, 1.0]]"
48,3,59,16,20,"[[1.818183106691472, 0.8779309366122995, -993.8988908887047], [-0.02028883843804634, 7.8100126022075695, -1699.7348584623494], [-3.4547582230136905e-05, 0.00493305495448094, 1.0]]"
49,3,76,15,3,"[[2.749028763805865, 1.4005159909436278, -1605.4207823809245], [0.050138976893706444, 10.78670942167197, -2129.6447642901107], [4.707810258220123e-05, 0.007788276964656058, 1.0]]"
50,2,43,10,34,"[[2.654513138424582, 1.3541592841450052, -1551.2338203007803], [0.017557032550436554, 10.472879270269337, -2047.8966580120837], [-2.299430980281234e-06, 0.0075591296830984905, 1.0]]"
51,2,45,10,31,"[[2.6464159173542465, 1.346445431054304, -1528.160385274654], [-0.012346824392822791, 10.448595276269657, -2057.5227122707333], [-4.251439980491897e-05, 0.007531938739143504, 1.0]]"
52,3,77,32,31,"[[1.7919612376964404, 0.8601757102280404, -976.831972269966], [-0.024251655556263685, 7.6893189864785105, -1665.6798254830412], [-3.797096032294923e-05, 0.00484735448468499, 1.0]]"
53,2,52,2,8,"[[2.0054546246761134, 1.0522918342633663, -1116.092490405858], [-0.012713027789638568, 9.180998750303846, -2121.60051274594], [1.9098037533232425e-06, 0.005713865158664253, 1.0]]"
54,2,47,3,14,"[[2.728559154790343, 1.3873333578528748, -1576.4581680706688], [0.03274926231011658, 10.745722884721154, -2136.3292521811154], [1.4062558949991172e-05, 0.007743795332140536, 1.0]]"
55,2,75,10,24,"[[1.685702299029616, 0.6966888326048883, -897.7602194703412], [0.0012278268405882908, 6.976485271321307, -1665.668890614626], [-1.4336483538529749e-05, 0.00398411536270343, 1.0]]"
56,2,46,34,1,"[[1.1280560671906983, 0.46240028226451285, -545.9480284316385], [0.022441706087868826, 3.861660752610907, -334.4588932748882], [3.58024780587449e-05, 0.002552725789856504, 1.0]]"
57,2,43,16,7,"[[1.1264445365903164, 0.45252728075785226, -540.5163466061629], [-0.016975372556019396, 6.0909070535329874, -1821.6201502818283], [-2.2325609700005154e-05, 0.002603581785933404, 1.0]]"
58,3,66,4,34,"[[1.2127348915472842, 0.4724871702826476, -591.308280335244], [-0.02487296478672235, 5.6941586133894075, -1442.9978959427135], [-2.5826753017045172e-05, 0.002791443230716878, 1.0]]"